ProjectID,ProjectPI,OutputVenue,OutputTitle,OutputVolume,ProjectTitle,ProjectEndYear,OutputType,OutputStatus,Affiliation,DOI,OutputMonth,OutputBiblio,ProjectYearStarted,OutputYear,ProjectRDC,ProjectStartYear,ProjID,ProjectStatus,PredictedTopic,OutputNumber,ProjectYearEnded,OutputPages,Keywords
,Lara Shore-Sheppard,Smith ScholarWorks,The Impact of the ACA Medicaid Expansion on Disability Program Applications,6,The Impact of the ACA Medicaid Expansion on Disability Program Applications,,Other,Published,,10.1086/710525,9,"Schmidt, L., Shore-Sheppard, L. D., & Watson, T. (2020). The Impact of the ACA Medicaid Expansion on Disability Program Applications. American Journal of Health Economics, 6(4), 444â476. https://doi.org/10.1086/710525
",2020.0,2020.0,Chicago,,PROJ_09358,Completed,communications,4,2023.0,444-476,"medicaid expansion, expansion disability, aca medicaid, disability program, disability"
,Chad W Syverson,Journal of Labor Economics,Monopsony Power in Higher Education: A Tale of Two Tracks,41,Geographic Variation in Rosiglitazone Use Surrounding FDA Warnings in the Department of Veterans Affairs,,Publication,,,10.1086/726720,10,"Goolsbee, A., & Syverson, C. (2023). Monopsony Power in Higher Education: A Tale of Two Tracks. Journal of Labor Economics, 41(S1), S257âS290. https://doi.org/10.1086/726720
",,2023.0,Chicago,,PROJ_00469,,medicine,S1,,S257-S290,"monopsony power, higher education, monopsony, education, education tale"
,John R Hipp,"eScholarship, University of California",Immigration and Crime: Is the Relationship Nonlinear?,65,Immigration and Crime: Is the Relationship Nonlinear?,,Other,Published,"Department of Criminology, Law and Society, University of California , Irvine, Social Ecology II, Room 3309, Irvine, CA 92697-7080 ,",10.1093/bjc/azae045,1,"Kubrin, C. E., Luo, X. I., & Hipp, J. R. (2024). Immigration and Crime: Is the Relationship Nonlinear? The British Journal of Criminology, 65(2), 365â386. https://doi.org/10.1093/bjc/azae045
",2024.0,2024.0,Chicago,,PROJ_03421,Active,social sciences,2,2027.0,365-386,"immigration crime, crime relationship, immigration, crime, relationship nonlinear"
,Chad Shirley,'Oxford University Press (OUP)',Copy Number Variants Are Ovarian Cancer Risk Alleles at Known and Novel Risk Loci,114,Copy Number Variants Are Ovarian Cancer Risk Alleles at Known and Novel Risk Loci,,Other,Published,"Center for Bioinformatics and Functional Genomics, Department of Biomedical Sciences, Cedars-Sinai Medical Center , Los Angeles, CA, USA",10.1093/jnci/djac160,10,"DeVries, A. A., Dennis, J., Tyrer, J. P., Peng, P.-C., Coetzee, S. G., Reyes, A. L., Plummer, J. T., Davis, B. D., Chen, S. S., Dezem, F. S., Aben, K. K. H., Anton-Culver, H., Antonenkova, N. N., Beckmann, M. W., Beeghly-Fadiel, A., Berchuck, A., Bogdanova, N. V., Bogdanova-Markov, N., Brenton, J. D., â¦ Jones, M. R. (2022). Copy Number Variants Are Ovarian Cancer Risk Alleles at Known and Novel Risk Loci. JNCI: Journal of the National Cancer Institute, 114(11), 1533â1544. https://doi.org/10.1093/jnci/djac160
",2022.0,2022.0,Atlanta,,PROJ_00544,Active,communications,11,2025.0,1533-1544,"variants ovarian, risk alleles, ovarian cancer, cancer risk, ovarian"
,Joseph W Sakshaug,Oxford,Detecting Interviewer Fraud Using Multilevel Models,12,Detecting Interviewer Fraud Using Multilevel Models,,Other,Published,"Institute for Employment Research PhD candidate in the (IAB), Regensburger Str. 104, 90478 Nuremberg, Germany and the Ludwig-Maximilian University of Munich, Germany",10.1093/jssam/smac036,1,"Olbrich, L., Kosyakova, Y., Sakshaug, J. W., & SchwanhÃ¤user, S. (2023). Detecting Interviewer Fraud Using Multilevel Models. Journal of Survey Statistics and Methodology, 12(1), 14â35. https://doi.org/10.1093/jssam/smac036
",2024.0,2024.0,Chicago,,PROJ_06771,Active,technology,1,2027.0,14-35,"interviewer fraud, detecting interviewer, multilevel models, fraud using, interviewer"
,Trivellore E Raghunathan,Journal of Survey Statistics and Methodology,Three Approaches to Improve Inferences Based on Survey Data Collected with Mixed-mode Designs,12,"Investigating Mode Effects in Interviewer Variances Using Two
  Representative Multi-mode Surveys",,Publication,,"Program of Survey and Data Science at the University of Michigan Wenshan Yu is a PhD candidate in the , Ann Arbor, MI, USA",10.1093/jssam/smae012,6,"Yu, W., Elliott, M. R., & Raghunathan, T. E. (2024). Three Approaches to Improve Inferences Based on Survey Data Collected with Mixed-mode Designs. Journal of Survey Statistics and Methodology, 12(3), 814â839. https://doi.org/10.1093/jssam/smae012
",2012.0,2024.0,Michigan,,PROJ_00213,,social sciences,3,2015.0,814-839,"survey data, based survey, mode designs, improve inferences, inferences based"
,Dylan K Nelson,'Oxford University Press (OUP)',Spatially resolved star formation and inside-out quenching in the TNG50 simulation and 3D-HST observations,508,Spatially resolved star formation and inside-out quenching in the TNG50 simulation and 3D-HST observations,,Other,Published,"Department for Astrophysical and Planetary Science, University of Colorado , Boulder, CO 80309, USA",10.1093/mnras/stab2131,1,"Nelson, E. J., Tacchella, S., Diemer, B., Leja, J., Hernquist, L., Whitaker, K. E., Weinberger, R., Pillepich, A., Nelson, D., Terrazas, B. A., Nevin, R., Brammer, G. B., Burkhart, B., Cochrane, R. K., vanÂ Dokkum, P., Johnson, B. D., Marinacci, F., Mowla, L., Pakmor, R., â¦ Wuyts, S. (2021). Spatially resolved star formation and inside-out quenching in the TNG50 simulation and 3D-HST observations. Monthly Notices of the Royal Astronomical Society, 508(1), 219â235. https://doi.org/10.1093/mnras/stab2131
",2021.0,2021.0,Florida,,PROJ_09319,Completed,technology,1,2024.0,219-235,"star formation, tng50 simulation, hst observations, quenching tng50, resolved star"
,Henry E Brady,PNAS Nexus,Protecting the integrity of survey research,2,"Effects of Data Quality Vetoes on a Search for Compact Binary
  Coalescences in Advanced LIGO's First Observing Run",,Publication,,"Annenberg Public Policy Center, University of Pennsylvania , Philadelphia, PA 19104 , USA",10.1093/pnasnexus/pgad049,3,"Jamieson, K. H., Lupia, A., Amaya, A., Brady, H. E., Bautista, R., Clinton, J. D., Dever, J. A., Dutwin, D., Goroff, D. L., Hillygus, D. S., Kennedy, C., Langer, G., Lapinski, J. S., Link, M., Philpot, T., Prewitt, K., Rivers, D., Vavreck, L., Wilson, D. C., & McNutt, M. K. (2023). Protecting the integrity of survey research. PNAS Nexus, 2(3). https://doi.org/10.1093/pnasnexus/pgad049
",2002.0,2023.0,Chicago,,PROJ_01248,,technology,3,2005.0,,"integrity survey, survey research, protecting integrity, integrity, survey"
,Anna Aizer,'Oxford University Press (OUP)',"Juvenile Incarceration, Human Capital, and Future Crime: Evidence from Randomly Assigned Judges",130,Juvenile Incarceration,,Other,Published,,10.1093/qje/qjv003,2,"Aizer, A., & Doyle, J. J. (2015). Juvenile Incarceration, Human Capital, and Future Crime: Evidence from Randomly Assigned Judges *. The Quarterly Journal of Economics, 130(2), 759â803. https://doi.org/10.1093/qje/qjv003
",2015.0,2015.0,Chicago,,PROJ_00862,Completed,history,2,2018.0,759-803,"juvenile incarceration, incarceration, incarceration human, future crime, crime evidence"
,Antoinette Schoar,'Oxford University Press (OUP)',Loan Originations and Defaults in the Mortgage Crisis: The Role of the Middle Class,29,Loan Originations and Defaults in the Mortgage Crisis: The Role of the Middle Class,,Other,Published,,10.1093/rfs/hhw018,1,"Adelino, M., Schoar, A., & Severino, F. (2016). Loan Originations and Defaults in the Mortgage Crisis: The Role of the Middle Class. Review of Financial Studies, 29(7), 1635â1670. https://doi.org/10.1093/rfs/hhw018
",2015.0,2015.0,Chicago,,PROJ_00875,Completed,social sciences,7,2018.0,1635-1670,"defaults mortgage, mortgage crisis, loan originations, mortgage, loan"
,Trivellore E Raghunathan,'Japanese Society for Pharmacoepidemiology',Filling the gaps: spatial interpolation of residential survey data in the estimation of neighborhood characteristics,18,Filling the gaps: spatial interpolation of residential survey data in the estimation of neighborhood characteristics,,Other,Published,,10.1097/ede.0b013e3180646320,1,"Auchincloss, A. H., Diez Roux, A. V., Brown, D. G., Raghunathan, T. E., & Erdmann, C. A. (2007). Filling the Gaps: Spatial Interpolation of Residential Survey Data in the Estimation of Neighborhood Characteristics. Epidemiology, 18(4), 469â478. https://doi.org/10.1097/ede.0b013e3180646320
",2007.0,2007.0,Michigan,,PROJ_04792,Completed,technology,4,2010.0,469-478,"interpolation residential, residential survey, spatial interpolation, neighborhood characteristics, neighborhood"
,Joseph W Sakshaug,'Ovid Technologies (Wolters Kluwer Health)',Characteristics of physical measurement consent in a population-based survey of older adults,48,Characteristics of physical measurement consent in a population-based survey of older adults,,Other,Published,,10.1097/mlr.0b013e3181adcbd3,1,"Sakshaug, J. W., Couper, M. P., & Ofstedal, M. B. (2010). Characteristics of Physical Measurement Consent in a Population-Based Survey of Older Adults. Medical Care, 48(1), 64â71. https://doi.org/10.1097/mlr.0b013e3181adcbd3
",2010.0,2010.0,Atlanta,,PROJ_06770,Completed,physical sciences,1,2013.0,64-71,"measurement consent, consent, consent population, older adults, survey older"
,Susan Marquis,'Ovid Technologies (Wolters Kluwer Health)',Analysis of Using the Total White Blood Cell Count to Define Severe New-onset Ulcerative Colitis in Children,71,Analysis of Using the Total White Blood Cell Count to Define Severe New-onset Ulcerative Colitis in Children,,Other,Published,Children's Hospital of Eastern Ontario and University of Ottawa Ottawa Ontario Canada,10.1097/mpg.0000000000002797,9,"Mack, D. R., Saul, B., Boyle, B., Griffiths, A., Sauer, C., Markowitz, J., LeLeiko, N., Keljo, D., Rosh, J. R., Baker, S. S., Steiner, S., Heyman, M. B., Patel, A. S., Baldassano, R., Noe, J., Rufo, P., Kugathasan, S., Walters, T., â¦ Marquis, A. (2020). Analysis of Using the Total White Blood Cell Count to Define Severe Newâonset Ulcerative Colitis in Children. Journal of Pediatric Gastroenterology and Nutrition, 71(3), 354â360. Portico. https://doi.org/10.1097/mpg.0000000000002797
",2020.0,2020.0,Atlanta,,PROJ_02257,Completed,medicine,3,2023.0,354-360,"ulcerative colitis, colitis children, colitis, onset ulcerative, ulcerative"
,Richard D. Gregory,'The Royal Society',Robustness of reserve selection procedures under temporal species turnover,267,Bird census and survey techniques,,Other,Published,"Biodiversity and Macroecology Group, Department of Animal and Plant Sciences, University of Sheffield, Sheffield S10 2TN, UK",10.1098/rspb.2000.0965,1,"Rodrigues, A. S. L., Gregory, R. D., & Gaston, K. J. (2000). Robustness of reserve selection procedures under temporal species turnover. Proceedings of the Royal Society of London. Series B: Biological Sciences, 267(1438), 49â55. https://doi.org/10.1098/rspb.2000.0965
",2004.0,2000.0,Chicago,,PROJ_13456,Completed,life sciences,1438,2007.0,49-55,"reserve selection, species turnover, reserve, temporal species, robustness reserve"
,Charles I Mead,'Cold Spring Harbor Laboratory',Exome sequencing identifies novel AD-associated genes,,Exome sequencing identifies novel AD-associated genes,,Other,Published,,10.1101/2020.07.22.20159251,7,"Holstege, H., Hulsman, M., Charbonnier, C., Grenier-Boley, B., Quenez, O., Grozeva, D., van Rooij, J. G. J., Sims, R., Ahmad, S., Amin, N., Norsworthy, P. J., Dols-Icardo, O., Hummerich, H., Kawalia, A., Amouyel, P., Beecham, G. W., Berr, C., Bis, J. C., â¦ Lambert, J.-C. (2020). Exome sequencing identifies rare damaging variants in ATP8B4 and ABCA1 as novel risk factors for Alzheimerâs Disease. https://doi.org/10.1101/2020.07.22.20159251
",2020.0,2020.0,Boston,,PROJ_02176,Completed,technology,,2023.0,,"exome sequencing, associated genes, ad associated, sequencing identifies, genes"
,Brian S Chen,'Emerald',Toward understanding inter-organizational knowledge transfer needs in SMEs:insight from a UK investigation,10,Toward understanding inter-organizational knowledge transfer needs in SMEs:insight from a UK investigation,,Other,Published,,10.1108/13673270610670821,1,"Chen, S., Duan, Y., Edwards, J. S., & Lehaney, B. (2006). Toward understanding interâorganizational knowledge transfer needs in SMEs: insight from a UK investigation. Journal of Knowledge Management, 10(3), 6â23. https://doi.org/10.1108/13673270610670821
",2006.0,2006.0,Boston,,PROJ_07186,Completed,education,3,2009.0,Jun-23,"knowledge transfer, organizational knowledge, inter organizational, transfer needs, smes insight"
,Martin Ruef,Journal of Small Business and Enterprise Development,What can outliers teach us about entrepreneurial success?,30,"Disentangling individual-level from location-based income uncovers
  socioeconomic preferential mobility and impacts segregation estimates",,Publication,,,10.1108/JSBED-01-2023-0004,10,"Ruef, M., Birkhead, C., & Aldrich, H. (2023). What can outliers teach us about entrepreneurial success? Journal of Small Business and Enterprise Development, 30(6), 1088â1108. https://doi.org/10.1108/jsbed-01-2023-0004
",2023.0,2023.0,Chicago,,PROJ_00384,,economics,6,2026.0,1088-1108,"entrepreneurial success, teach entrepreneurial, outliers teach, entrepreneurial, outliers"
,Sarah Gollust,'Wiley',Consumer Perspectives on Access to Directâ  toâ  Consumer Genetic Testing: Role of Demographic Factors and the Testing Experience,95,Consumer Perspectives on Access to Directâ  toâ  Consumer Genetic Testing: Role of Demographic Factors and the Testing Experience,,Other,Published,University of Minnesota School of Public Health,10.1111/1468-0009.12262,6,"GOLLUST, S. E., GRAY, S. W., CARERE, D. A., KOENIG, B. A., LEHMANN, L. S., McGUIRE, A. L., SHARP, R. R., SPECTORâBAGDADY, K., WANG, N., GREEN, R. C., & ROBERTS, J. S. (2017). Consumer Perspectives on Access to DirectâtoâConsumer Genetic Testing: Role of Demographic Factors and the Testing Experience. The Milbank Quarterly, 95(2), 291â318. Portico. https://doi.org/10.1111/1468-0009.12262
",2017.0,2017.0,Boston,,PROJ_07051,Completed,communications,2,2020.0,291-318,"consumer genetic, genetic testing, toâ consumer, genetic, demographic"
,Sandy Wong,"eScholarship, University of California","Structural Factors and Racial/Ethnic Inequities in Travel Times to Acute Care Hospitals in the Rural US South, 2007-2018.",101,Structural Factors and Racial/Ethnic Inequities in Travel Times to Acute Care Hospitals in the Rural US South,,Other,Published,Gillings School of Global Public Health University of North Carolina Chapel Hill,10.1111/1468-0009.12655,5,"PLANEY, A. M., PLANEY, D. A., WONG, S., MCLAFFERTY, S. L., & KO, M. J. (2023). Structural Factors and Racial/Ethnic Inequities in Travel Times to Acute Care Hospitals in the Rural US South, 2007â2018. The Milbank Quarterly, 101(3), 922â974. Portico. https://doi.org/10.1111/1468-0009.12655
",2023.0,2023.0,Florida,,PROJ_07578,Active,social sciences,3,2026.0,922-974,"hospitals rural, factors racial, ethnic inequities, hospitals, acute care"
,Anna Aizer,Fiscal Studies,The safety net and child health and well‐being: evidence from the United States and the United Kingdom,46,Family First or the Kindness of Strangers? Foster Care Placements and Adult Outcomes,,Publication,,Brown University; NBER,10.1111/1475-5890.12397,3,"Aizer, A., & LlerasâMuney, A. (2024). The safety net and child health and wellâbeing: evidence from the United States and the United Kingdom. Fiscal Studies, 46(1), 37â63. Portico. https://doi.org/10.1111/1475-5890.12397
",2018.0,2025.0,Georgetown,,PROJ_00864,,psychology,1,2021.0,37-63,"child health, safety net, safety, health, net child"
,Zahn Bozanic,ScholarlyCommons,What Do Management Earnings Forecasts Convey About the Macroeconomy?,51,IRS Attention,,Other,Published,Fisher College of Business The Ohio State University,10.1111/1475-679x.12007,5,"BONSALL, S. B., BOZANIC, Z., & FISCHER, P. E. . (2013). What Do Management Earnings Forecasts Convey About the Macroeconomy? Journal of Accounting Research, 51(2), 225â266. Portico. https://doi.org/10.1111/1475-679x.12007
",2016.0,2013.0,Chicago,,PROJ_13449,Completed,law and justice,2,2019.0,225-266,"earnings forecasts, management earnings, earnings, forecasts convey, forecasts"
,Henry Friedman,ScholarlyCommons,Lobbying and Uniform Disclosure Regulation,54,Lobbying and Uniform Disclosure Regulation,,Other,Published,University of California  Los Angeles,10.1111/1475-679x.12118,6,"FRIEDMAN, H. L., & HEINLE, M. S. (2016). Lobbying and Uniform Disclosure Regulation. Journal of Accounting Research, 54(3), 863â893. Portico. https://doi.org/10.1111/1475-679x.12118
",2016.0,2016.0,Chicago,,PROJ_09006,Completed,governance and politics,3,2019.0,863-893,"disclosure regulation, lobbying, lobbying uniform, uniform disclosure, disclosure"
,John R Hipp,"eScholarship, University of California",Improving or declining: What are the consequences for changes in local crime?*,60,Improving or declining: What are the consequences for changes in local crime?*,,Other,Published,"Department of Criminology, Law and Society and Department of Sociology University of California  Irvine",10.1111/1745-9125.12309,8,"Hipp, J. R., & Luo, X. I. (2022). Improving or declining: What are the consequences for changes in local crime?*. Criminology, 60(3), 480â507. Portico. https://doi.org/10.1111/1745-9125.12309
",2022.0,2022.0,Chicago,,PROJ_03418,Active,social sciences,3,2025.0,480-507,"local crime, crime, consequences changes, declining consequences, improving declining"
,Mo Xiao,'Wiley',Competition and subsidies in the deregulated US local telephone industry,46,Competition and subsidies in the deregulated US local telephone industry,,Other,Published,University of Michigan,10.1111/1756-2171.12109,10,"Fan, Y., & Xiao, M. (2015). Competition and subsidies in the deregulated US local telephone industry. The RAND Journal of Economics, 46(4), 751â776. Portico. https://doi.org/10.1111/1756-2171.12109
",2015.0,2015.0,Chicago,,PROJ_02687,Completed,communications,4,2018.0,751-776,"telephone industry, competition subsidies, local telephone, subsidies, telephone"
,Elton Mykerezi,American Journal of Agricultural Economics,Work Effort and Work Requirements for Food Assistance among U.S. Adults,104,Serving vegetables first: A strategy to increase vegetable consumption in elementary school cafeterias,,Publication,,,10.1111/ajae.12207,3,"Cuffey, J., Beatty, T. K. M., & Mykerezi, E. (2021). Work Effort and Work Requirements for Food Assistance among U.S. Adults. American Journal of Agricultural Economics, 104(1), 294â317. Portico. https://doi.org/10.1111/ajae.12207
",,2021.0,Chicago,,PROJ_00478,,education,1,,294-317,"food assistance, assistance adults, work requirements, work effort, requirements food"
,Reynolds Farley,'Wiley',The Bankruptcy of Detroit: What Role did Race Play?,14,The American people: Census 2000,,Other,Published,University of Michigan at Michigan,10.1111/cico.12106,6,"Farley, R. (2015). The Bankruptcy of Detroit: What Role did Race Play? City &amp; Community, 14(2), 118â137. https://doi.org/10.1111/cico.12106
",2006.0,2015.0,Chicago,,PROJ_13619,Completed,history,2,2009.0,118-137,"bankruptcy detroit, detroit role, detroit, did race, bankruptcy"
,Ian M Schmutte,Contemporary Economic Policy,Effects of social distancing policy on labor market outcomes,41,"An Economic Analysis of Privacy Protection and Statistical Accuracy as
  Social Choices",,Publication,,Department of Economics IUPUI Indianapolis Indiana USA,10.1111/coep.12582,9,"Gupta, S., Montenovo, L., Nguyen, T., LozanoâRojas, F., Schmutte, I., Simon, K., Weinberg, B. A., & Wing, C. (2022). Effects of social distancing policy on labor market outcomes. Contemporary Economic Policy, 41(1), 166â193. Portico. https://doi.org/10.1111/coep.12582
",,2023.0,Chicago,,PROJ_05845,,economics,1,,166-193,"social distancing, labor market, policy labor, distancing policy, labor"
,Fernando V Ferreira,ScholarlyCommons,Pop Internationalism: Has Half a Century of World Music Trade Displaced Local Culture?,123,Pop Internationalism: Has Half a Century of World Music Trade Displaced Local Culture?,,Other,Published,The Wharton School University of Pennsylvania,10.1111/ecoj.12003,1,"Ferreira, F., & Waldfogel, J. (2013). Pop Internationalism: Has Half a Century of World Music Trade Displaced Local Culture? The Economic Journal, 123(569), 634â664. https://doi.org/10.1111/ecoj.12003
",2013.0,2013.0,Minnesota,,PROJ_03075,Completed,cognition sciences,569,2016.0,634-664,"pop internationalism, world music, music trade, local culture, culture"
,Jonathan M Lee,'Wiley',Neurosystems: brain rhythms and cognitive processing,39,Neurosystems: brain rhythms and cognitive processing,,Other,Published,Department of Mathematics and Statistics Boston University 111 Cummington Mall Boston MA 02215 USA,10.1111/ejn.12453,12,"Cannon, J., McCarthy, M. M., Lee, S., Lee, J., BÃ¶rgers, C., Whittington, M. A., & Kopell, N. (2013). Neurosystems: brain rhythms and cognitive processing. European Journal of Neuroscience, 39(5), 705â719. Portico. https://doi.org/10.1111/ejn.12453
",2013.0,2013.0,Boston,,PROJ_06449,Completed,cognition sciences,5,2016.0,705-719,"brain rhythms, rhythms cognitive, neurosystems brain, neurosystems, cognitive processing"
,Mufaddal H Baxamusa,UST Research Online,Does policy uncertainty increase relational risks? Evidence from strategic alliances,50,Does policy uncertainty increase relational risks? Evidence from strategic alliances,,Other,Published,University of St. Thomas  St Paul Minnesota,10.1111/fima.12334,1,"Baxamusa, M., Datta, S., & Jha, A. (2020). Does policy uncertainty increase relational risks? Evidence from strategic alliances. Financial Management, 50(3), 645â689. Portico. https://doi.org/10.1111/fima.12334
",2020.0,2020.0,Michigan,,PROJ_11199,Completed,social sciences,3,2023.0,645-689,"strategic alliances, policy uncertainty, relational risks, alliances, strategic"
,Nigel Melville,'Wiley',Digital innovation: A review and synthesis,29,Digital innovation: A review and synthesis,,Other,Published,Raymond A. Mason School of Business College of William &amp; Mary PO Box 8795 Williamsburg VA USA,10.1111/isj.12193,4,"Kohli, R., & Melville, N. P. (2018). Digital innovation:<scp>A</scp>review and synthesis. Information Systems Journal, 29(1), 200â223. Portico. https://doi.org/10.1111/isj.12193
",2018.0,2018.0,Michigan,,PROJ_03264,Completed,technology,1,2021.0,200-223,"digital innovation, innovation review, innovation, digital, review synthesis"
,Nigel Melville,Information Systems Journal,Putting humans back in the loop: An affordance conceptualization of the 4th industrial revolution,33,Internet Business Practices Across the Globe: Lessons from Emerging Economies,,Publication,,Stephen M. Ross School of Business University of Michigan Ann Arbor Michigan USA,10.1111/isj.12422,12,"Melville, N. P., Robert, L., & Xiao, X. (2022). Putting humans back in the loop: An affordance conceptualization of the 4th industrial revolution. Information Systems Journal, 33(4), 733â757. Portico. https://doi.org/10.1111/isj.12422
",,2023.0,Boston,,PROJ_03261,,technology,4,,733-757,"affordance conceptualization, affordance, industrial revolution, 4th industrial, conceptualization 4th"
,Felicia B Leclere,'Wiley',The intersection of gender and race/ethnicity in smoking behaviors among menthol and non-menthol smokers in the United States,105,Evaluating the Impacts of Swapping on the US Decennial Census,,Other,Published,,10.1111/j.1360-0443.2010.03191.x,11,"Cubbin, C., Soobader, M., & LeClere, F. B. (2010). The intersection of gender and race/ethnicity in smoking behaviors among menthol and nonâmenthol smokers in the United States. Addiction, 105(s1), 32â38. Portico. https://doi.org/10.1111/j.1360-0443.2010.03191.x
",2008.0,2010.0,Atlanta,,PROJ_00150,Completed,technology,s1,2011.0,32-38,"ethnicity smoking, menthol smokers, smoking behaviors, smokers, smokers united"
,Trivellore E Raghunathan,'Wiley',A Bayesian model for longitudinal count data with non-ignorable dropout,57,A Bayesian model for longitudinal count data with non-ignorable dropout,,Other,Published,"University of Michigan , Ann Arbor , USA",10.1111/j.1467-9876.2008.00628.x,12,"Kaciroti, N. A., Raghunathan, T. E., Anthony Schork, M., & Clark, N. M. (2008). A Bayesian Model for Longitudinal Count Data with Non-Ignorable Dropout. Journal of the Royal Statistical Society Series C: Applied Statistics, 57(5), 521â534. https://doi.org/10.1111/j.1467-9876.2008.00628.x
",2008.0,2008.0,Michigan,,PROJ_04785,Completed,mathematics and data science,5,2011.0,521-534,"longitudinal count, model longitudinal, bayesian model, dropout, longitudinal"
,Colleen Heflin,University of Missouri - Columbia Institute of Public Policy,"Food Insufficiency, Food Stamp Participation, and Mental Health",89,Food Insufficiency,,Other,Published,,10.1111/j.1540-6237.2008.00556.x,1,"Heflin, C. M., & Ziliak, J. P. (2008). Food Insufficiency, Food Stamp Participation, and Mental Health*. Social Science Quarterly, 89(3), 706â727. Portico. https://doi.org/10.1111/j.1540-6237.2008.00556.x
",2008.0,2008.0,Chicago,,PROJ_13282,Completed,economics,3,2011.0,706-727,"food stamp, food insufficiency, insufficiency food, stamp participation, food"
,Lee R. Dice,'Wiley',The Selection Index And Its Test Of Significance,3,Some Census Methods for Mammals,,Other,Published,Laboratory of Vertebrate Biology; University of Michigan; Ann Arbor Michigan,10.1111/j.1558-5646.1949.tb00026.x,9,"Dice, L. R. (1949). THE SELECTION INDEX AND ITS TEST OF SIGNIFICANCE. Evolution, 3(3), 262â265. Portico. https://doi.org/10.1111/j.1558-5646.1949.tb00026.x
",1938.0,1949.0,Michigan,,PROJ_13686,Completed,life sciences,3,1941.0,262-265,"selection index, selection, index test, test significance, index"
,Arline T Geronimus,'Wiley',"Behavioral Mechanisms in HIV Epidemiology and Prevention: Past, Present, and Future Roles",40,Behavioral Mechanisms in HIV Epidemiology and Prevention: Past,,Other,Published,,10.1111/j.1728-4465.2009.00202.x,9,"Bingenheimer, J. B., & Geronimus, A. T. (2009). Behavioral Mechanisms in HIV Epidemiology and Prevention: Past, Present, and Future Roles. Studies in Family Planning, 40(3), 187â204. Portico. https://doi.org/10.1111/j.1728-4465.2009.00202.x
",2009.0,2009.0,Maryland,,PROJ_02680,Completed,history,3,2012.0,187-204,"hiv epidemiology, mechanisms hiv, hiv, behavioral mechanisms, epidemiology prevention"
,Sarah Gollust,'Wiley',Looking Ahead: Addressing Ethical Challenges in Public Health Practice,35,Looking Ahead: Addressing Ethical Challenges in Public Health Practice,,Other,Published,,10.1111/j.1748-720x.2007.00188.x,1,"Baum, N. M., Gollust, S. E., Goold, S. D., & Jacobson, P. D. (2007). Looking Ahead: Addressing Ethical Challenges in Public Health Practice. Journal of Law, Medicine &amp; Ethics, 35(4), 657â667. https://doi.org/10.1111/j.1748-720x.2007.00188.x
",2007.0,2007.0,Florida,,PROJ_07049,Completed,public health,4,2010.0,657-667,"ethical challenges, addressing ethical, public health, ethical, health practice"
,Dean R Lillard,Journal of Consumer Affairs,"Financial stress among college students: New data about student loan debt, lack of emergency savings, social and personal resources",58,International migration as occupational mobility,,Publication,,Department of Human Sciences The Ohio State University  Columbus Ohio USA,10.1111/joca.12581,6,"Danahy, R., Loibl, C., Montalto, C. P., & Lillard, D. (2024). Financial stress among college students: New data about student loan debt, lack of emergency savings, social and personal resources. Journal of Consumer Affairs, 58(2), 692â709. Portico. https://doi.org/10.1111/joca.12581
",2012.0,2024.0,Ohio State,,PROJ_01180,,economics,2,2015.0,692-709,"financial stress, student loan, stress college, loan debt, college students"
,Dirk W Early,Journal of Regional Science,Racial rent differences in U.S. housing markets: Evidence from the housing voucher program,59,"Preventing Eviction-Caused Homelessness through ML-Informed Distribution
  of Rental Assistance",,Publication,,Department of Economics and Business Southwestern University Georgetown Texas,10.1111/jors.12422,9,"Early, D. W., Carrillo, P. E., & Olsen, E. O. (2019). Racial rent differences in U.S. housing markets: Evidence from the housing voucher program. Journal of Regional Science, 59(4), 669â700. Portico. https://doi.org/10.1111/jors.12422
",2001.0,2019.0,Georgetown,,PROJ_00052,,mathematics and data science,4,2004.0,669-700,"racial rent, housing voucher, housing markets, rent differences, differences housing"
,Judith K Hellerstein,Upjohn Research,Social Capital Determinants and Labor Market Networks,61,Social Capital Determinants and Labor Market Networks,,Other,Published,Research Division W.E. Upjohn Institute for Employment Research Kalamazoo Michigan,10.1111/jors.12508,8,"Asquith, B., Hellerstein, J. K., Kutzbach, M. J., & Neumark, D. (2020). Social capital determinants and labor market networks. Journal of Regional Science, 61(1), 212â260. Portico. https://doi.org/10.1111/jors.12508
",2020.0,2020.0,Boston,,PROJ_00531,Completed,social sciences,1,2023.0,212-260,"social capital, labor market, determinants labor, market networks, networks"
,Jan M Eberth,The Journal of Rural Health,"Health care access barriers among metropolitan and nonmetropolitan populations of eight geographically diverse states, 2018",41,"Is it possible to obtain reliable estimates for the prevalence of anemia
  and childhood stunting among children under 5 in the poorest districts in
  Peru?",,Publication,,"Department of Health Management and Policy, College of Public Health University of Iowa  Iowa City Iowa USA",10.1111/jrh.12855,1,"Zahnd, W. E., Hung, P., Crouch, E. L., Ranganathan, R., & Eberth, J. M. (2024). Health care access barriers among metropolitan and nonmetropolitan populations of eight geographically diverse states, 2018. The Journal of Rural Health, 41(1). Portico. https://doi.org/10.1111/jrh.12855
",2023.0,2025.0,Philadelphia,,PROJ_00378,,public health,1,2026.0,,"barriers metropolitan, diverse states, access barriers, populations geographically, health care"
